Common Name,Species,Class,Sacral,C6,node,Mammalia,Reptilia,Aves,Amphibia
Black Swan+Mute Swan,Cygnus atratus+Cygnus olor,Aves+Aves,19.5,19868.5,212,0,0,2,0
Eastern Spot-Billed Duck+Mallard+Black Swan+Mute Swan,Anas zonorhyncha+Anas platyrhynchos+Cygnus atratus+Cygnus olor,Aves+Aves+Aves+Aves,17.297444231882476,21449.384402566353,205,0,0,4,0
Golden Pheasant+Common Pheasant,Chrysolophus pictus+Phasianus colchicus,Aves+Aves,14.5,23475.000000000004,220,0,0,2,0
Eastern Spot-Billed Duck+Mallard+Black Swan+Mute Swan+Golden Pheasant+Common Pheasant,Anas zonorhyncha+Anas platyrhynchos+Cygnus atratus+Cygnus olor+Chrysolophus pictus+Phasianus colchicus,Aves+Aves+Aves+Aves+Aves+Aves,16.01930338095242,22374.879900869397,204,0,0,6,0
White Or Black-Backed Wagtail+Steller'S Sea Eagle,Motacilla alba alba+Haliaeetus pelagicus,Aves+Aves,13.000000000000002,26193.000000000004,187,0,0,2,0
Eurasian Woodcock+Common Snipe,Scolopax rusticola+Gallinago gallinago,Aves+Aves,12.75,25991.0,154,0,0,2,0
Ruff+Eurasian Woodcock+Common Snipe,Calidris pugnax+Scolopax rusticola+Gallinago gallinago,Aves+Aves+Aves,12.460705168994318,23571.72375990983,163,0,0,3,0
Common Tern+Razorbill,Sterna hirundo+Alca torda,Aves+Aves,14.499999999999998,15775.5,21,0,0,2,0
Atlantic Puffin+Common Tern+Razorbill,Fratercula arctica+Sterna hirundo+Alca torda,Aves+Aves+Aves,13.556013925508736,18762.460736905257,156,0,0,3,0
Ruff+Eurasian Woodcock+Common Snipe+Atlantic Puffin+Common Tern+Razorbill,Calidris pugnax+Scolopax rusticola+Gallinago gallinago+Fratercula arctica+Sterna hirundo+Alca torda,Aves+Aves+Aves+Aves+Aves+Aves,13.041790419816321,21020.30454284379,161,0,0,6,0
