Common Name,Species,Class,Thoracic,C10,node,Mammalia,Reptilia,Aves,Amphibia
Budgerigar,Melopsittacus undulatus,Aves,5.0,37569.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,12012.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,11276.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,10380.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,10568.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,17289.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,9342.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,19851.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,3319.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,11927.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,19825.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,11558.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,14324.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,15510.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,19401.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,16575.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,17309.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,16715.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,10342.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,15490.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,30429.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,12367.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,14579.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,14518.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,12288.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,14992.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,15841.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,16896.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,15717.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,18928.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,12973.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,15511.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,15719.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,12910.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,15451.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,17477.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,9218.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,17884.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,19310.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,13811.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,19936.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,16146.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,9848.5,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,9938.583362669859,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,9528.936801252377,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,13015.084580164123,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,13461.500000000002,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,12256.802537781581,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,12583.174918897794,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,11385.001550964524,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,12.0,13020.5,73,2,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,12953.5,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,12.0,11171.395615191257,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,11.380898550881753,10242.992891854497,87,4,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,12.999999999999998,17358.5,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,12.999999999999998,17120.35308865971,82,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.109629454486011,13338.379480112559,80,7,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.720949646443627,12036.156019398328,79,8,0,0,0
Alpaca+Two-Humped Camel+Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.526167890742693,12302.10004156553,94,10,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,14.001168628620196,11830.730105934317,92,19,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar+Flying Fox,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,14.000957281287048,12653.28801349686,78,20,0,0,0
