Common Name,Species,Class,Sacral,A1,A2,A3,A4,A5,A6,A7,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,C4,C5,C6,C8,C9,C10,C11,C12,D1,D3,D4,D8,D9,D10,D11,D12,node,Mammalia,Reptilia,Aves
Two-Humped Camel+Cattle+Sheep,Camelus ferus+Bos taurus+Ovis aries,Mammalia+Mammalia+Mammalia,4.27306740067184,4114.33661598749,4005.951472381558,-20663.24852329203,3471.777596799513,-2353.3147762701187,2634.1117441723686,4493.312957299896,4922.655901197729,1589.4015408340088,7522.49165943358,9168.816726376694,3437.112131544076,-1502.6334311213295,12683.755598276382,926.4960095679404,3569.762036864355,-2755.331450192272,-11487.052579426667,64169.39516479554,-6139.538767528206,9346.905870509647,13399.464993164569,11164.750598497609,14186.776733010523,13291.982455078172,17985.719124962343,13100.961438232347,15426.342128236975,27045.776802770713,15436.1998512892,8889.103279680283,7564.4676277956505,7496.688813542198,11675.92556643459,7047.036701879989,94,3,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,2.5000000000000004,2753.0,4711.500000000001,17841.5,5569.000000000001,207.99999999999994,3671.0,6191.5,4968.0,7791.500000000002,12923.0,12161.000000000002,7639.5,6972.5,13678.500000000002,3940.0,11974.5,4040.0000000000005,9836.5,72647.50000000001,-11933.500000000004,2258.5,11354.5,3760.0000000000005,9941.0,9887.0,16033.500000000002,8862.0,16856.0,16071.5,19974.0,7464.0,5366.500000000001,7231.5,7079.0,5794.0,63,2,0,0
Tiger+Lion,Panthera tigris+Panthera leo,Mammalia+Mammalia,3.0,8390.653382513548,22245.940221310964,22459.211152094624,22217.693234972907,6668.537843351399,11284.326691256774,11800.793030971172,11242.326691256774,13641.709142986669,17711.44223041892,9204.0,5328.366543716129,40.326691256774296,12898.366543716129,1965.9043870675264,2439.326691256774,2181.462156648602,8337.055760473118,70298.5098806899,17734.019926229677,2880.6334562838715,16449.274948999566,6629.035834243442,10737.613530054196,10031.326691256774,16827.673308743226,9186.788847905376,13965.56597086278,12337.191225864946,17863.1595746873,4977.095612932474,2333.9800737703226,6458.211152094624,6142.537843351398,4736.693234972902,57,2,0,0
Cat+Tiger+Lion,Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia,2.594116280685876,9127.878903182578,23887.76412913324,22842.27967992965,19977.339615289093,6671.972494965352,11783.836951070092,12158.866476765434,14137.768546181369,14236.040962188905,18241.34687371594,9080.611349328507,4672.309679177711,-11436.979838451085,12943.676746152518,1220.3348024201268,4734.872409035095,1826.1263203893031,6597.415507224561,71110.47625076665,-1760.9890838792414,2440.8042786741544,15132.070682502666,6389.549895312101,10406.163393233563,9573.763140927389,16252.668677137477,8648.672739292355,13947.477368854152,9046.208414200733,12358.093920862242,4576.449574236786,-2996.0768405305444,4578.072061034092,5501.429148694522,4407.646049539301,60,3,0,0
Fox+Ermine+Cat+Tiger+Lion,Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,2.538079928258178,5332.3085905932285,12470.314489647028,19864.84102090428,11398.687859222933,2823.356313246813,6953.495300660608,8605.926979790162,8678.1352267428,10398.994215757612,15074.830330813309,10914.659005965388,6438.959628856449,-476.0696460781496,13381.186755309149,2839.6095589905062,9045.309670008139,3144.2553926071705,8525.949857047155,72025.61233428071,-7817.650084677744,2332.2612430334007,12882.924407887642,4823.929329071018,10129.207486670506,9760.262765651427,16122.17676709081,8775.686699856173,15679.19687599022,13229.031113316054,16892.56547027673,6295.6823374913165,1982.9586634723335,6157.909492409642,6440.706769518355,5233.074105040498,47,5,0,0
Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion,Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.396248132277415,4729.869184769113,8283.62880794103,-181.36586501000303,7477.8397542726625,262.8452995800432,4817.0201456066025,6571.725208526116,6820.581210199452,6041.549309563093,11339.254704583249,10051.121742787807,4954.170766419061,-983.8337733292386,13036.219859020708,1893.3357415151293,6336.966841561221,226.17216385771323,-1372.9817669654847,68139.73080146307,-6987.614249791198,5801.879944902177,13138.418302465147,7960.258142570033,12136.182734722956,11507.139668894053,17043.931433217353,10915.075780838006,15554.128592669842,20063.139152848245,16172.21060459969,7578.453209103437,4743.712616909868,6820.103233783524,9030.176943817221,6130.305381138535,92,8,0,0
Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox,Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,4.016346980106575,5962.595234638494,15756.810935245212,5452.060730225342,9478.863719819985,1869.2436319289295,6684.157538758207,8387.967481856816,8294.627761203748,7960.7168194836,13754.57109883145,9717.436344750611,4661.912818271459,-4271.853602033034,12047.820547734786,1873.250687792214,6748.031807517052,242.0876067647188,-1954.8009526989458,67521.54221782135,87.42911221759007,8771.712506259493,15069.762962974706,9111.918556668697,13635.806865421833,12667.40191029795,18085.64163310674,12540.709849945271,16711.535601241365,24002.918929209747,21136.043698625763,8513.34530550875,6692.372564794676,8330.225157334426,9578.845978086889,6445.074741651699,78,9,0,0
Western European Hedgehog+Two-Humped Camel+Cattle+Sheep+Fox+Ermine+Cat+Tiger+Lion+Flying Fox,Erinaceus europaeus+Camelus ferus+Bos taurus+Ovis aries+Vulpes vulpes+Mustela erminea+Felis catus+Panthera tigris+Panthera leo+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,3.901926196664074,5609.681396706258,13204.723713396956,4729.420455406761,9750.128271787884,1814.8984540142633,6809.54635715888,8081.728057480828,7886.529138833767,8062.270856930251,13678.880072766877,11121.376301625829,4748.798041269922,2117.854611063274,12325.299373909418,1838.8476487282385,5917.701948879007,471.1991743785646,85.6172919724341,77079.330644192,5223.723778858658,10911.95707885021,16560.053252760335,9697.173471530496,14588.493848364053,13604.002071337858,18509.635520513628,13444.888655340088,17754.25095295241,22063.744230220844,21264.781694024477,6233.260408481297,5840.029122823325,8163.977743158088,8890.600779110235,6121.9702001608675,98,10,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,5.48270952091476,9990.728031529896,54022.74857971925,24196.885273492557,15281.987184958754,6791.992880532641,13100.745731932304,13364.222338364487,17623.807160700537,14699.406428137214,18947.515866585614,13355.604143163915,26469.87200758382,8095.002804434302,15588.61777323485,7950.967034650323,8974.846813917933,4212.805118309362,9319.580747187616,103812.93632267468,-9584.869591396524,1707.6847347637135,13435.293753654867,8845.467866539371,13892.833409280742,12256.240652447643,18332.886908368888,12864.610668218369,14878.759966050062,-1869.984135822867,11743.24062836284,4761.242066707193,1791.962772603827,2981.0844220466493,3827.511796254139,3829.2780715588356,67,2,0,0
Gorilla+Human+Chimpanzee,Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,5.309986159506523,9883.83701836958,44083.65855599506,24309.28196152013,15273.76189897752,6757.286839668733,12667.158270067448,12802.72241898115,15574.995988098477,14676.002667415534,18809.928207519744,12766.057607313294,18373.87120665388,-74.75582098251543,14600.454324927636,5715.674176149226,8876.500989948507,3180.562712777719,8094.195557048332,101501.79650786433,2084.3258430721244,7525.243207869421,16435.513522564517,10062.24796972644,15424.722572967343,14008.759343760632,19457.55720168309,15471.472310740724,15092.464692726913,3417.8815145993444,13663.219321595572,4754.71468130421,2004.8792899414939,4410.904926145465,4181.570958586185,3843.4913917953486,66,3,0,0
