name,species,class,C,T,L,S,Ca,node,Amphibia,Aves,Reptilia,Mammalia
AtlanticPuffin,Fratercula arctica,Aves,14.0,7.0,0.0,12.0,7.5,0,0,1,0,0
CommonMurre,Uria aalge,Aves,14.0,6.666666667,0.0,12.5,8.0,0,0,1,0,0
Black-headedGull,Chroicocephalus ridibundus,Aves,14.0,7.0,0.0,12.0,7.0,0,0,1,0,0
ArcticTern,Sterna paradisaea,Aves,13.0,6.0,0.0,12.0,6.0,0,0,1,0,0
CommonTern,Sterna hirundo,Aves,13.0,7.0,0.0,12.0,8.0,0,0,1,0,0
BlackSkimmer,Rynchops niger,Aves,13.0,6.0,0.0,12.0,8.0,0,0,1,0,0
Razorbill,Alca torda,Aves,12.5,8.0,0.0,17.0,8.0,0,0,1,0,0
CollaredPratincole,Glareola pratincola,Aves,12.0,6.0,0.0,11.0,8.0,0,0,1,0,0
EurasianCurlew,Numenius arquata,Aves,14.0,6.5,0.0,14.0,7.0,0,0,1,0,0
Bar-tailedGodwit,Limosa lapponica,Aves,12.0,7.5,0.0,15.0,6.0,0,0,1,0,0
CommonGreenshank,Tringa nebularia,Aves,14.0,8.0,0.0,13.0,7.0,0,0,1,0,0
RuddyTurnstone,Arenaria interpres,Aves,10.0,6.0,0.0,12.0,7.0,0,0,1,0,0
RedKnot,Calidris canutus,Aves,13.0,6.0,0.0,12.0,7.0,0,0,1,0,0
Ruff,Calidris pugnax,Aves,13.5,8.0,0.0,12.0,8.0,0,0,1,0,0
EurasianWoodcock,Scolopax rusticola,Aves,13.33333333,6.0,0.0,11.5,7.5,0,0,1,0,0
CommonSnipe,Gallinago gallinago,Aves,13.5,7.0,0.0,14.0,6.5,0,0,1,0,0
NorthernJacana,Jacana spinosa,Aves,15.0,7.0,0.0,12.0,7.0,0,0,1,0,0
Rufous-belliedSeedsnipe,Attagis gayi,Aves,13.0,7.0,0.0,13.0,6.0,0,0,1,0,0
Red-throatedLoon,Gavia stellata,Aves,11.0,7.0,0.0,16.0,6.0,0,0,1,0,0
WhiteStork,Ciconia ciconia,Aves,15.66666667,5.5,0.0,13.0,6.0,0,0,1,0,0
AustralianPelican,Pelecanus conspicillatus,Aves,19.0,5.0,0.0,14.0,7.0,0,0,1,0,0
GlossyIbis,Plegadis falcinellus,Aves,15.0,6.0,0.0,15.0,6.0,0,0,1,0,0
EurasianSpoonbill,Platalea leucorodia,Aves,16.0,6.0,0.0,14.0,6.0,0,0,1,0,0
Black-headedIbis,Threskiornis melanocephalus,Aves,16.0,7.0,0.0,15.0,6.0,0,0,1,0,0
SnowyAlbatross,Diomedea exulans,Aves,13.0,7.5,0.0,13.0,7.0,0,0,1,0,0
AntarcticGiant-petrel,Macronectes giganteus,Aves,12.0,8.0,0.0,14.0,7.0,0,0,1,0,0
Wilson'sStorm-petrel,Oceanites oceanicus,Aves,11.0,6.0,0.0,12.0,6.0,0,0,1,0,0
EmperorPenguin,Aptenodytes forsteri,Aves,13.0,8.5,0.0,13.0,8.0,0,0,1,0,0
RoyalPenguin,Eudyptes schlegeli,Aves,12.0,7.0,0.0,15.0,6.0,0,0,1,0,0
Humboldt'sPenguin,Spheniscus humboldti,Aves,13.0,8.0,0.0,13.0,8.0,0,0,1,0,0
LittleBluePenguin,Eudyptula minor,Aves,13.0,7.5,0.0,14.0,7.0,0,0,1,0,0
Dark-wingedTrumpeter,Psophia viridis,Aves,16.0,8.0,0.0,14.0,6.0,0,0,1,0,0
EurasianCoot,Fulica atra,Aves,14.0,8.0,0.0,15.0,6.5,0,0,1,0,0
