Class,Order,Family,Species,Common name,Taxonomy ID,Cervical,Thoracic,Lumbar,Sacral,Caudal,Annotation 1,Annotation 2,Annotation 3,Reference 1,Reference 2,Reference 3,Reference 4
Amphibia,Anura,Rhacophoridae,Theloderma stellatum,Taylor's bug-eyed frog,1115543,1,7,0,1,3,http://digimorph.org/specimens/Theloderma_stellatum/whole/,,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: Field Museum of Natural History (FMNH 253619),,,
Amphibia,Anura,Rhacophoridae,Nyctixalus pictus,Painted Indonesian treefrog,126588,1,7,0,1,3,http://digimorph.org/specimens/Nyctixalus_pictus/whole/,,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: Field Museum of Natural History (FMNH 242743),,,
Amphibia,Anura,Rhacophoridae,Buergeria oxycephala,Red-headed flying frog,191198,1,7,0,1,3,http://digimorph.org/specimens/Buergeria_oxycephalus/whole/,but used slightly different Buergeria oxycephalus,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: Museum of Vertebrate Zoology (MVZ 230425),,,
Amphibia,Anura,Dicroglossidae,Hoplobatrachus tigerinus,Indus valley bullfrog,103373,1,7,0,1,3,https://portal.idigbio.org/portal/records/a26a765f-acc7-4e27-909f-22b932129164,,assuming that Rockova is correct that all Anura have 3 fused caudal,IDigBio: Yale Peabody Museum YPM HERA 006001,,,
Amphibia,Anura,Microhylidae,Hypopachus ustum,Two-spaded narrow-mouthed toad,1658260,1,7,0,1,3,http://digimorph.org/specimens/Gastrophryne_usta/whole/, but used the homotypic synonym,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: Texas Memorial Museum: Texas Natural History Collections (TNHC 27022),,,
Amphibia,Anura,Microhylidae,Hamptophryne boliviana,Bolivian bleating frog,143622,1,7,0,1,3,http://digimorph.org/specimens/Hamptophryne_boliviana/whole/,,assuming that Rockova is correct that all Anura have 3 fused caudal,Digimorph: Texas Memorial Museum: Texas Natural History Collections (TNHC 44565),,,
Amphibia,Anura,Microhylidae,Kaloula pulchra,Malaysian narrowmouth toad,167934,1,7,0,1,3,https://portal.idigbio.org/portal/records/a2e20a28-68a5-450f-b125-5b3b82fd83e5,,assuming that Rockova is correct that all Anura have 3 fused caudal,IDigBio: Yale Peabody Museum YPM HERA 006056,,,
Amphibia,Anura,Microhylidae,Dyscophus guineti,Sambava tomato frog,111069,1,7,0,1,3,https://portal.idigbio.org/portal/records/a69c9cd0-9fe3-4370-a413-cbeb89f2f356,,assuming that Rockova is correct that all Anura have 3 fused caudal,IDigBio: Yale Peabody Museum YPM HERA 014131.001,,,
Amphibia,Anura,Hemisotidae,Hemisus guineensis,Guinea snout-burrower,1985260,1,7,0,1,3,using the CT scanned image,https://sketchfab.com/3d-models/hemisotidae-hemisus-guineensis-b1dfc550838648228297b1950fe3e9ca,assuming that Rockova is correct that all Anura have 3 fused caudal,Blackburn lab: CAS 258434,,,
Amphibia,Anura,Brevicipitidae,Callulina kreffti,Krefft's secret frog,248777,1,7,0,1,3,https://portal.idigbio.org/portal/records/93759842-f460-4298-86bc-554be23bac40,had subpsecies Callulina kreffti nieden,assuming that Rockova is correct that all Anura have 3 fused caudal,IDigBio: Harvard Museum of Comparative Zoology A-13623,,,
