Major clade,Genus,species,MHI1,N,N Atypical CTL2,CTL Mode3,C Mode,T Mode,L Mode,Trans-T Mode4,Trans-L Mode5,S Mode,N int. C/T6,N int. T/L7,N int. L/S8,TransN9,N int. trans-T/L10,Analysis 1,Analysis 211,Analysis 3,Analysis 412,Analysis 513,Analysis 614,Analysis 715,Analysis 816,Analysis 917,Analysis 1018
Primates,Cebus,albifrons / capucinus / sp.,0.533,31,12,27,7,14,6,11,9,3,0,1,0,6,0,FAST,INT.,FAST,ARB.,NON,NOT,SUSP.,RUN.,MOB.,MOB.
Primates,Saguinus,oedipus,0,11,0,26,7,12,7,10,9,3,0,0,0,6,0,FAST,INT.,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Callithrix,jacchus,0,14,0,26,7,13,6,10,9,3,0,0,0,5,1,FAST,INT.,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Aotus,azarae / nancymaae / sp.,0.549,44,7,29,7,14,8,11,11,3,0,0,0,37,0,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Pithecia,irrorata / monachus / pithecia,0.615,13,5,26,7,13,6,10,9,3,0,1,0,9,0,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Lagothrix,lagotricha,0.568,38,14,25,7,14,4,11,7,3,0,0,3,14,1,-,-,-,ARB.,NON,NOT,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Ateles,belzebuth / chamek / fusciceps / geoffroyi / paniscus / sp.,0.393,43,10,25,7,14,4,12,6,3,0,1,0,4,0,-,-,-,ARB.,NON,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Alouatta,caraya / palliata / pigra / seniculus,0.479,33,10,26,7,14,5,12,7,3,0,0,0,4,0,SLOW,SLOW,-,ARB.,NON,NOT,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Nomascus,gabriellae,0.500,13,4,26,7,14,5,14,5,5,0,0,1,3,0,-,-,-,ARB.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Nomascus,concolor,0.416,20,5,25,7,13,5,14,4,4,0,1,0,7,1,-,-,-,ARB.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Symphalangus,syndactylus,0.590,78,34,25,7,13,5,13,5,5,0,6,3,37,0,-,-,-,ARB.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Hoolock,hoolock,0.471,24,7,25,7,13,5,13,5,4,0,0,1,28,2,-,-,-,ARB.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Hylobates,agilis / lar / moloch,0.430,268,73,25,7,13,5,13,5,4,0,10,6,152,7,-,-,-,ARB.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Pongo,abelii / pygmaeus,0.404,152,37,23,7,12,4,12,4,5,1,3,3,79,4,SLOW,SLOW,-,ARB.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Pan,paniscus / troglodytes,0.487,334,106,24,7,13,4,13,4,6,4,9,16,204,5,-,-,-,TER.,UPR.,ANTI.,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Homo,sapiens,0.244,1182,158,24,7,12,5,12,5,5,7,29,30,1043,103,SLOW,SLOW,-,TER.,UPR.,NOT,BIP.,RUN.,STAB.,-
Primates,Gorilla,beringei,0.208,107,12,23,7,13,3,13,3,6,0,1,1,69,0,SLOW,SLOW,-,TER.,UPR.,NOT,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Gorilla,gorilla,0.558,262,119,24,7,13,4,13,4,6,0,6,14,205,10,SLOW,SLOW,-,TER.,UPR.,NOT,SUSP.,CLIM.,STAB.,DS CLIMB
Primates,Trachypithecus,cristatus / phayrei,0.132,131,7,26,7,12,7,10,9,3,0,3,1,131,0,FAST,FAST,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Presbytis,melalophos / rubicunda,0.257,15,2,26,7,12,7,10,9,3,0,0,0,4,0,FAST,FAST,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
